Start,Finish,Name of Conflict,Belligerents,,Part of,War link,Wider conflict link
1930,Ongoing,Xinjiang conflict,China,"Uyghur separatist
movements
Including:
1969–1989:
East Turkestan People's
Revolutionary Party
Supported by:
Soviet Union
Mongolia
1980s–2017:
Turkistan Islamic Party
Supported by:
Al-Qaeda
Pakistani Taliban",,https://en.wikipedia.org/wiki/Xinjiang_conflict,
,,,,Many other small groups,,,
1931,1931,"1931 Saudi–Yemeni border
skirmish","Kingdom of Hejaz and
Nejd","Mutawakkilite Kingdom of
Yemen",,https://en.wikipedia.org/wiki/1931_Saudi%E2%80%93Yemeni_border_skirmish,https://en.wikipedia.org/wiki/1931_Saudi%E2%80%93Yemeni_border_skirmish
1931,1932,Ahmed Barzani revolt,Kingdom of Iraq,Barzan tribe,,https://en.wikipedia.org/wiki/Ahmed_Barzani_revolt,
1931,1931,Flour Revolt,Portugal,Rebels,,https://en.wikipedia.org/wiki/Flour_Revolt?action=edit&redlink=1,
1931,1931,Madeira uprising,Portugal,Rebels,,https://en.wikipedia.org/wiki/Madeira_uprising,
1931,1931,August 26 Revolt,Portugal,Rebels,,https://en.wikipedia.org/wiki/August_26_Revolt,
1931,1934,Kumul Rebellion,Republic of China,"First East Turkestan
Republic",,https://en.wikipedia.org/wiki/Kumul_Rebellion,
1931,1931,Uranian peasant uprising,Soviet Union,Rebels,,https://en.wikipedia.org/wiki/Uranian_peasant_uprising?action=edit&redlink=1,
1931,1931,Chilean naval mutiny of 1931,Chile,Chilean Navy rebels,,https://en.wikipedia.org/wiki/Chilean_naval_mutiny_of_1931,
1931,1931,"Jafar Sultan revolt
",Iran,Kurdish rebels,"Kurdish
separatism in Iran",https://en.wikipedia.org/wiki/Jafar_Sultan_revolt,https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran
1931,1932,"Japanese invasion of
Manchuria",Empire of Japan,Republic of China,,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria,https://en.wikipedia.org/wiki/Japanese_invasion_of_Manchuria
1931,1931,1931 Cyprus revolt,British Empire,Greek Cypriot rebels,,https://en.wikipedia.org/wiki/1931_Cyprus_revolt,
1931,1933,Idrisid Emirate Rebellion,Saudi Arabia,"Idrisid Emirate
Supported by:
Mutawakkilite Kingdom
of Yemen",,https://en.wikipedia.org/wiki/Idrisid_Emirate_Rebellion?action=edit&redlink=1,
1931,1931,Norte Grande insurrection,Chile,Communist Party of Chile,,https://en.wikipedia.org/wiki/Norte_Grande_insurrection,
