Started,Ended,Name of conflict,Belligerents,,Part of,War link,Wider conflict link
1954,Ongoing,Insurgency in Northeast India,"India
Indian Armed Forces
Central Reserve
Police Force
Border Security Force
SULFA[34][35]
Supported by:
Bhutan (from 2003)[36]
Bangladesh (from
1971)[37]
Myanmar (from
2018)[38]","Separatist groups:
UNLFW
National
Democratic Front of
Boroland (1986–2020)
National Socialist
Council of Nagaland
United Liberation
Front of Asom
Kamtapur
Liberation Organisation
CorCom
United National
Liberation Front (1964–
2023)
People's Liberation
Army of Manipur
Kangleipak
Communist Party
People's
Revolutionary Party of
Kangleipak
Kanglei Yawol Kanna
Lup
Maoist Communist
Party of Manipur
Zomi Revolutionary
Army (1997–2005)
Kuki National Army
Tani Army
National Liberation
Front of Tripura (1989–
2024)
All Tripura Tiger Force
(1990–2024)
Karbi Longri N.C. Hills
Liberation Front (2004–21)
Bodo Liberation Tigers
Force (1996-03)
Other:
Garo National Liberation
Army (2009–18)
Hynniewtrep National
Liberation Council (2000–
10)
People's Democratic
Council of Karbi Longri
(2016–21)
Adivasi Cobra Force (1996–
2012)
Mizo National Front (1954–
86)
Tripura National Volunteers
(1978–88)
Dima Halam Daogah
(2009–13)
United People's Democratic
Solidarity (1999–2014)
Supported by:
China (claimed by India)[39]
Myanmar (until 2018)[40]
Bhutan (until 2003)[41]",,https://en.wikipedia.org/wiki/Insurgency_in_Northeast_India,
,,,,"CPI (Maoist)[42]
Jihadist groups:
MULT Assam (1996–
2016)
AQIS (2016–
present)[43]",,,
1955,1955,Afghan tribal revolt of 1955,Afghanistan,Rebels,,https://en.wikipedia.org/wiki/1955_in_Afghanistan#Tribal_revolt_(unknown_date),
1955,1955,"Calderonista invasion of
Costa Rica","Costa Rica
Supported by:
United States
Organization of
American States","Calderón forces
Supported by:
Nicaragua
Venezuela
Dominican Republic
Guatemala
(Diplomatic Support)",,https://en.wikipedia.org/wiki/Calderonista_invasion_of_Costa_Rica,https://en.wikipedia.org/wiki/Calderonista_invasion_of_Costa_Rica
1955,1955,Revolución Libertadora,"Antiperonist rebels
Argentine Navy
Argentine Air Force
Argentine Army
Argentine opposition","Argentine Government
Argentine Army
Argentine Air Force
Peronist Party
Nationalist Liberation
Alliance",,https://en.wikipedia.org/wiki/Revoluci%C3%B3n_Libertadora,
1955,1964,"Bamileke War
","Independence War
Phase (1955–1960)
France (1955–1960)
French Cameroon
Civil War Phase (1960–
1964)
Federal Republic of
Cameroon
France","Union of the Peoples
of Cameroon
Supported by:
People's Socialist
Republic of Albania[44]","decolonisation of
Africa",https://en.wikipedia.org/wiki/Bamileke_War,https://en.wikipedia.org/wiki/Decolonisation_of_Africa
1955,1957,Upper Yafa uprisings[45],United Kingdom,Rebels,,https://en.wikipedia.org/wiki/Upper_Yafa,
1955,1972,"First Sudanese Civil War
","SDF mutineers,
bandits, and unaffiliated
separatist militias
ALF (1965–1970)
Anyanya (from
1963)[46]
Israel (from
1969)[47][48][49]
Supported by:
Ethiopia[50][51]
Uganda (from about
1970)[50][48]
Congo-
Léopoldville[52]
Kenya[50]
France[53]","Anglo-Egyptian
Sudan
(1955–1956)
Republic of the Sudan
(1956–1969)
Democratic
Republic of the Sudan
(1969–1972)
Combat support:
Uganda
(Joint operations on
Ugandan territory, 1965–
1969)[54]
Libyan Arab Republic
(From 1969 and combat
involvement at least in
1970)[55]
Non-combat support:
United Arab
Republic[55][56]
Soviet Union[57][56]
United Kingdom[56][58]
China[56][58]
Yugoslavia[56][58]
East Germany[56][58]
Czechoslovakia[58]","Sudanese Civil
Wars and the South
Sudanese wars of
independence",https://en.wikipedia.org/wiki/First_Sudanese_Civil_War,https://en.wikipedia.org/wiki/Sudanese_Civil_War
,,,,"Saudi Arabia[58]
Kingdom of Libya
(until 1969)[58]
Algeria[58]
United States[59]
West Germany[59]",,,
1 November 1955,30 April 1975,"Vietnam War
","North Vietnam
Viet Cong and PRG
Pathet Lao
Khmer Rouge
GRUNK (from 1970)
China (1965–1969)
Soviet Union
North Korea","South Vietnam
United States
South Korea
Australia
New Zealand
Laos
Cambodia (1967–1970)
Khmer Republic (1970–
1975)
Thailand
Philippines
Taiwan
Spain","Indochina Wars
and the Cold War in Asia",https://en.wikipedia.org/wiki/Vietnam_War,https://en.wikipedia.org/wiki/Indochina_Wars
1955,1959,"Cyprus Emergency
",EOKA,"United Kingdom
British Cyprus
Turkey
Special Warfare
Department
Turkish Resistance
Organisation","Cyprus problem
and Decolonisation",https://en.wikipedia.org/wiki/Cyprus_Emergency,https://en.wikipedia.org/wiki/Cyprus_problem
1956,1956,"Hungarian Revolution of
1956
","Soviet Union
Until 28 October:
Hungary
From 4 November:
Kádár government","Hungarian
revolutionaries
From 28 October:
Hungary (Nagy
government)",Cold War,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1956
1956,1956,"1956 Poznań protests
","Polish People's Army
Internal Security Corps
Służba Bezpieczeństwa",Protesters,Cold War,https://en.wikipedia.org/wiki/1956_Pozna%C5%84_protests,https://en.wikipedia.org/wiki/Cold_War
1956,1956,"Suez Crisis
","Israel
United Kingdom
France",Egypt,"Cold War
and the Arab–Israeli
conflict",https://en.wikipedia.org/wiki/Suez_Crisis,https://en.wikipedia.org/wiki/Cold_War
1956,1956,"Quỳnh Lưu uprising
","North Vietnamese
Army",Quỳnh Lưu's Christians,Cold War,https://en.wikipedia.org/wiki/Qu%E1%BB%B3nh_L%C6%B0u_uprising,https://en.wikipedia.org/wiki/Cold_War
