Start,Finish,Name of conflict,Belligerents,Defeated,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1208,1209,Lombard Rebellion,Latin Empire\nKingdom of Thessalonica,Rebel barons,,https://en.wikipedia.org/wiki/Berthold_II_von_Katzenelnbogen#Defence_of_the_Kingdom_of_Thessalonica,,2913.0
1209,1229,Albigensian Crusade\n,Kingdom of France,Counts of Toulouse\nCrown of Aragon,Crusades,https://en.wikipedia.org/wiki/Albigensian_Crusade,,513546.0
1211,1211,Welsh uprising of\n1211,Kingdom of England,Llywelyn the Great,,https://en.wikipedia.org/wiki/Welsh_uprising_of_1211,https://en.wikipedia.org/wiki/Welsh_uprising_of_1211,7506.0
1213,1214,Anglo-French War,Kingdom of France,Kingdom of England,,https://en.wikipedia.org/wiki/Anglo-French_War_(1213%E2%80%931214),,30639.0
1214,1214,Battle of Bouvines,Kingdom of France,Welfs\nCounty of Flanders\nKingdom of England\nBoulogne,,https://en.wikipedia.org/wiki/Battle_of_Bouvines,,118258.0
1215,1217,First Barons' War,Kingdom of England,Rebel Barons\nKingdom of France,,https://en.wikipedia.org/wiki/First_Barons'_War,,236657.0
1216,1222,War of the Succession\nof Champagne,County of Champagne\nKingdom of France\nHoly Roman Empire\nDuchy of Burgundy\nCounty of Bar\nPapal States,"Local barons in the borderlands of\nChampagne, united under Erard of\nBrienne.\nDuchy of Lorraine",,https://en.wikipedia.org/wiki/War_of_the_Succession_of_Champagne,https://en.wikipedia.org/wiki/War_of_the_Succession_of_Champagne,5775.0
1217,1221,Fifth Crusade\n,Ayyubid Dynasty,Latin Empire of Constantinople\nKingdom of Cyprus\nSultanate of Rûm\nHoly Roman Empire\nArchduchy of Austria\nKnights Templar\nTeutonic Order\nKnights Hospitaller\nKingdom of Hungary\nCounty of Holland\nKingdom of France\nPapal States,Crusades,https://en.wikipedia.org/wiki/Fifth_Crusade,,173377.0
1218,1218,Mongol conquest of\nthe Qara Khitai,Mongol Empire,Qara Khitai,,https://en.wikipedia.org/wiki/Mongol_conquest_of_the_Qara_Khitai,https://en.wikipedia.org/wiki/Mongol_conquest_of_the_Qara_Khitai,29495.0
1221,1221,Jōkyū War,Kamakura Shogunate\nHōjō clan,Emperor Go-Toba,,https://en.wikipedia.org/wiki/J%C5%8Dky%C5%AB_War,,29986.0
1221,1222,Battle of Genter,Kingdom of Tumapel,Kingdom of Kediri,,https://en.wikipedia.org/wiki/Battle_of_Genter,,7688.0
1228,1229,Sixth Crusade\n,Holy Roman Empire\nTeutonic Knights,Kingdom of Cyprus\nHouse of Ibelin\nAyyubid Dynasty,Crusades,https://en.wikipedia.org/wiki/Sixth_Crusade,,186073.0
1228,1243,War of the Lombards,Kingdom of Cyprus\nAnti-Imperial faction in the\nKingdom of Jerusalem\nRepublic of Genoa\nKnights Templar\nPapacy,Holy Roman Empire\nPro-Imperial faction in the Kingdom of\nJerusalem\nPrincipality of Antioch and County of\nTripoli\nRepublic of Pisa\nKnights Hospitaller\nTeutonic Knights,,https://en.wikipedia.org/wiki/War_of_the_Lombards,,14424.0
1230,1233,Friso-Drentic War,Bishopric of Utrecht\nFrisians\nTown of Groningen,Drenthe\nProvince of Groningen,,https://en.wikipedia.org/wiki/Friso-Drentic_War,,1238.0
1230,1333,Dernbacher Feud,Landgraviate of Hesse,House of Nassau,,https://en.wikipedia.org/wiki/Dernbacher_Feud,,1131.0
,,,,,,,,
1233,1234,Stedinger Crusade\n,Prince-Archbishopric of\nBremen\nCrusaders,Stedingers,Crusades,https://en.wikipedia.org/wiki/Stedinger_Crusade,,19255.0
1235,1242,Bosnian Crusade\n,Kingdom of Hungary,Banate of Bosnia,Crusades,https://en.wikipedia.org/wiki/Bosnian_Crusade,,25602.0
1236,1238,First war against\nSwietopelk II,Duchy of Lubiszewo (1236)\nMecklenburgian troops\n(1237–1238)\nDuchy of Białogarda (1237–\n1238)\nDuchy of Kuyavia (1238),Duchy of Gdańsk,,https://en.wikipedia.org/wiki/First_war_against_Swietopelk_II,https://en.wikipedia.org/wiki/First_war_against_Swietopelk_II,922.0
1239,1245,Teltow and\nMagdeburg Wars,Margraviate of\nBrandenburg,Margravate of Meissen,,https://en.wikipedia.org/wiki/Teltow_and_Magdeburg_Wars,https://en.wikipedia.org/wiki/Teltow_and_Magdeburg_Wars,2577.0
1240,1242,Livonian campaign\nagainst Rus'\n,Novgorod Republic\nVladimir-Suzdal,Livonian order,Northern\nCrusades,https://en.wikipedia.org/wiki/Livonian_campaign_against_Rus',https://en.wikipedia.org/wiki/Livonian_campaign_against_Rus',7303.0
